just_date,Count,TMAX
2017-04-13,14,84
2017-04-25,13,82
2017-03-29,14,67
2017-03-24,10,81
2017-03-19,17,58
2017-04-27,7,63
2017-03-26,28,64
2017-04-24,13,77
2017-03-30,13,71
2017-02-12,11,57
2016-11-12,18,56
2016-02-27,12,67
2017-04-20,19,83
2017-02-19,22,72
2008-01-12,33,54
2017-01-17,12,54
2017-02-24,18,67
2017-03-01,10,68
2017-03-20,23,86
2017-03-21,14,66
2017-03-27,22,58
2017-04-03,14,71
2017-04-06,9,59
2016-04-08,22,56
2017-04-10,18,81
2017-04-11,11,62
2017-04-12,11,73
2017-04-15,29,86
2017-04-16,22,77
2017-04-17,19,71
2017-04-19,14,88
2017-04-22,13,63
2017-04-23,21,74
2017-04-26,7,72
2009-08-20,16,81
2016-08-27,23,94
2012-09-08,18,74
2016-11-03,19,69
2016-12-05,17,46
1984-01-01,1,
2002-01-01,2,
2003-01-01,6,
2017-01-11,23,71
2011-01-25,7,36
2017-01-27,13,35
2017-01-30,21,55
2017-02-02,5,38
2017-02-10,16,70
2017-02-11,28,74
2017-02-16,9,71
2012-02-18,33,46
2017-02-20,25,79
2017-02-25,12,42
2017-02-27,14,65
2017-02-28,13,75
2017-03-02,9,51
2017-03-03,11,45
2017-03-04,24,72
2017-03-05,9,62
2017-03-06,8,70
2017-03-07,7,71
2017-03-08,17,68
2017-03-09,15,74
2017-03-10,8,46
2017-03-11,7,38
2017-03-12,15,44
2017-03-13,13,40
2017-03-14,8,32
2017-03-15,6,40
2017-03-16,11,51
2017-03-17,14,72
2017-03-18,28,59
2017-03-22,16,52
2017-03-23,10,62
2017-03-28,15,59
2014-07-17,14,80
2010-08-01,18,88
2016-11-01,41,85
2011-12-26,13,42
2017-01-02,16,50
2017-01-07,19,28
2017-01-14,10,35
2016-01-15,21,51
2017-01-18,12,49
2017-01-20,13,55
2017-01-28,14,44
2017-01-31,11,53
2017-02-01,14,48
2017-02-03,9,36
2017-02-04,20,42
2017-02-05,19,54
2017-02-06,21,64
2017-02-07,12,67
2017-02-08,8,40
2017-02-09,8,31
2017-02-13,12,50
2017-02-14,15,59
2016-02-16,9,41
2017-02-17,16,75
2017-02-23,9,72
2016-05-14,14,61
2016-10-31,25,74
2016-12-04,11,42
2016-12-23,17,43
2004-01-01,2,
2017-01-03,11,49
2017-01-04,10,28
2017-01-05,12,23
2017-01-06,11,16
2017-01-08,6,28
2017-01-10,17,68
2017-01-12,13,50
2017-01-13,6,32
2017-01-15,19,38
2017-01-16,11,59
2017-01-19,17,48
2017-01-21,29,72
2017-01-22,12,55
2017-01-23,25,44
2017-01-24,13,52
2017-01-25,10,54
2017-01-26,18,37
2016-03-09,10,67
2015-06-05,15,87
2015-07-01,14,87
2007-07-05,1,
2016-08-01,21,88
2016-10-01,19,73
2006-10-02,1,
2013-11-10,17,55
2016-11-14,16,70
2016-11-23,9,57
2016-11-30,20,46
2016-12-19,15,25
2016-12-31,21,55
2015-02-07,14,71
2015-02-22,8,36
2016-02-23,9,50
2016-08-02,28,87
2016-08-23,30,78
2016-09-13,19,91
2016-09-24,21,92
2016-09-27,19,82
2016-10-18,20,85
2016-10-19,5,69
2016-10-24,16,67
2016-10-27,18,61
2016-10-28,16,78
2016-10-29,24,86
2016-10-30,26,73
2016-11-06,13,66
2016-11-08,18,63
2016-11-10,9,67
2016-11-11,19,64
2016-11-16,19,71
2016-11-18,10,70
2016-11-19,11,49
2016-11-20,25,45
2016-11-21,11,50
2016-11-22,17,51
2016-11-24,15,45
2016-11-27,16,51
2016-11-28,13,54
2016-11-29,9,63
2016-12-03,14,45
2016-12-06,21,43
2016-12-07,10,40
2016-12-08,13,31
2016-12-09,20,31
2016-12-10,20,37
2016-12-11,18,49
2016-12-12,10,40
2016-12-13,10,38
2016-12-14,16,31
2016-12-15,6,21
2016-12-16,9,36
2016-12-17,18,40
2016-12-18,9,16
2016-12-20,12,45
2016-12-21,9,54
2016-12-22,22,47
2016-12-25,8,65
2016-12-26,16,68
2016-12-27,14,50
2016-12-28,15,52
2016-12-29,7,49
2016-12-30,19,50
2016-02-03,16,50
2011-02-04,5,30
2010-03-07,17,70
2016-03-22,17,76
2008-05-27,16,77
2016-06-07,22,81
2016-08-05,14,87
2016-08-31,22,87
2016-09-09,11,89
2016-09-21,27,90
2016-09-23,17,92
2016-09-30,12,69
2016-10-02,19,72
2016-10-09,17,78
2016-10-10,18,76
2016-10-12,17,76
2016-10-14,8,70
2016-10-23,23,81
2016-10-26,18,71
2016-11-02,32,85
